	unknown	other
accipiter	Accipitriformes	other birds
accipiter_cooperii	Accipitriformes	other birds
accipiter_gentilis	Accipitriformes	other birds
accipiter_gentilis_schvedowi	Accipitriformes	other birds
accipiter_nisus	Accipitriformes	other birds
accipiter_gentilis_-goshawk-	Accipitriformes	other birds
accipiter_trivirgatus	Accipitriformes	other birds
acinonyx_jubatus	Carnivora	mammalian
adelie_penguin	Sphenisciformes	other birds
african_oystercatcher	Charadriiformes	Anseri/Charadriiformes
african_penguin	Sphenisciformes	other birds
african_starling	Passeriformes	other birds
african_stonechat	Passeriformes	other birds
air_sample	environment	other
aix_galericulata	Anseriformes	Anseri/Charadriiformes
aix_sponsa	Anseriformes	Anseri/Charadriiformes
alectoris_chukar	Galliformes	terrestrial poultry
alopochen_aegyptiaca	Anseriformes	Anseri/Charadriiformes
alopochen_aegyptiacus	Anseriformes	Anseri/Charadriiformes
amazona_albifrons	Psittaciformes	other birds
american_black_duck	Anseriformes	Anseri/Charadriiformes
american_coot	Gruiformes	other birds
american_crow	Passeriformes	other birds
american_green-winged_teal	Anseriformes	Anseri/Charadriiformes
american_green-winged_teal-_hunter_harvest	Anseriformes	Anseri/Charadriiformes
american_green_winged_teal	Anseriformes	Anseri/Charadriiformes
american_green-winged_teal-_live_bird_surveillance	Anseriformes	Anseri/Charadriiformes
american_oystercatcher	Charadriiformes	Anseri/Charadriiformes
american_white_pelican	Pelecaniformes	other birds
american_widgeon	Anseriformes	Anseri/Charadriiformes
american_wigeon	Anseriformes	Anseri/Charadriiformes
american_wigeon-_hunter_harvest	Anseriformes	Anseri/Charadriiformes
anas_actam	Anseriformes	Anseri/Charadriiformes
anas_actam-_northern_pintail_duck	Anseriformes	Anseri/Charadriiformes
anas_acuta	Anseriformes	Anseri/Charadriiformes
anas_acuta_-northern_pintail	Anseriformes	Anseri/Charadriiformes
anas_acuta_-northern_pintail-	Anseriformes	Anseri/Charadriiformes
anas_acuta_-pintail-	Anseriformes	Anseri/Charadriiformes
anas_americana	Anseriformes	Anseri/Charadriiformes
anas_boschas	Anseriformes	Anseri/Charadriiformes
anas_carolinensis	Anseriformes	Anseri/Charadriiformes
anas_carolinensis_-american_green-winged_teal-	Anseriformes	Anseri/Charadriiformes
anas_castanea	Anseriformes	Anseri/Charadriiformes
anas_clypeata	Anseriformes	Anseri/Charadriiformes
anas_clypeata_-northern_shoveler-	Anseriformes	Anseri/Charadriiformes
anas_crecca	Anseriformes	Anseri/Charadriiformes
anas_crecca_-american_green-winged_teal-	Anseriformes	Anseri/Charadriiformes
anas_crecca_-green_winged_teal-	Anseriformes	Anseri/Charadriiformes
anas_crecca_-green-winged_teal-	Anseriformes	Anseri/Charadriiformes
anas_crecca_carolinensis	Anseriformes	Anseri/Charadriiformes
